user_id,avg_daily_activities,avg_unique_activities,avg_after_hours_ratio,avg_unique_pcs,avg_logon_hour,avg_logoff_hour,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,role,department,team,business_unit,supervisor,neuroticism_afterhours_risk,openness_activity_risk,composite_risk_score,risk_rank
AAB0162,0.00114387980562905,0.0,0.0028394070012708115,0.0,0.3266146511049384,0.4905940593966915,0.875,0.65,0.5750000000000001,0.125,0.5526315789473684,13,17,44,0,112,0.002191358781041585,0.849710982668783,0.1812763528776878,1519.0
AAB0398,0.0021217124823415257,0.0,0.002182353296901839,0.0,0.14873685408997808,0.3128712870882169,0.15000000000000002,0.7000000000000001,0.15000000000000002,0.4,0.5789473684210525,1,0,0,0,60,0.0017353059252042413,0.14566473988607706,0.06806061736452909,3524.0
AAC0610,0.09312682558478974,0.9545454583636399,0.09479105130593413,0.0,0.5793237971909228,0.6190319031848196,0.9000000000000001,0.625,1.0,0.8,0.5,36,17,7,0,11,0.06872283798399804,0.8993694168312067,0.24256676678568256,471.0
AAC0668,0.00114387980562905,0.0,0.002640648306795729,0.0,0.6967381879373903,0.7688118813328546,0.7000000000000001,0.9500000000000002,0.675,0.7000000000000001,0.6578947368421052,23,19,32,0,86,0.002284989579565742,0.6797687861350263,0.11075405988371036,3215.0
AAC3270,0.005893352974991217,0.0,0.0,0.0,0.7724317293852527,0.8079207920232134,0.4,0.675,0.8,0.875,0.4736842105263158,38,13,88,0,176,0.0,0.38843930636287216,0.1078998989006795,3252.0
AAD2188,0.0021217124823415257,0.0,0.002271524692633868,0.0,0.29747370811916296,0.41584158414741695,0.275,0.5,0.025000000000000022,0.625,0.42105263157894735,28,13,66,0,240,0.001487467794740521,0.2670520231244746,0.116241435073129,3151.0
AAD3030,0.00114387980562905,0.0,0.002640648306795729,0.0,0.6603814479255099,0.7128712871387118,0.825,0.625,0.22500000000000003,0.4,0.5,33,22,86,0,218,0.0019144507403087174,0.8011560693734239,0.1776380446016186,1605.0
AAF0819,0.11848380580446333,0.9767441801860528,0.0015812264494241388,0.01600000003118933,0.3564403531954353,0.4497799779460549,0.5,0.2,0.10000000000000003,0.7000000000000001,0.3421052631578947,40,19,65,0,114,0.000924498106815103,0.5024868934393352,0.21532581112340776,883.0
AAF3937,0.00114387980562905,0.0,0.002640648306795729,0.0,0.6824338971140566,0.7519801978290707,0.7250000000000001,0.675,0.7250000000000001,0.22500000000000003,0.4736842105263158,28,13,21,0,122,0.0018526942493956903,0.7040462427827058,0.15555921931482827,2275.0
AAG1447,0.00114387980562905,0.0,0.05281295251017286,0.0,0.8528933677742265,0.8861386139088814,0.7750000000000001,0.65,0.17500000000000004,0.25,0.4473684210526315,40,19,11,0,244,0.03581875543520611,0.7526011560780649,0.1859287445971385,1406.0
AAG3799,0.00114387980562905,0.0,0.05281295251017286,0.0,0.8439531859336513,0.8999999998485149,0.875,0.9000000000000001,0.125,0.7250000000000001,0.631578947368421,31,12,72,0,147,0.04446466187927543,0.849710982668783,0.16472439987456008,1978.0
AAH0721,0.0021217124823415257,0.0,0.0026188244104735983,0.0,0.16290226871889543,0.36386138611636604,0.22500000000000003,0.7250000000000001,0.5,0.8500000000000001,0.3157894736842105,26,11,2,0,117,0.0014699062010905938,0.2184971098291156,0.07529151068955509,3481.0
AAM0138,0.00114387980562905,0.0,0.002640648306795729,0.0,0.6967381879373903,0.7648514849172875,0.5,0.825,0.275,0.45000000000000007,0.42105263157894735,1,11,0,0,106,0.001729181320680205,0.48554913295359026,0.10025995025471787,3317.0
AAM0729,0.00114387980562905,0.0,0.05281295251017286,0.0,0.8439531859336513,0.8999999998485149,0.8,0.675,0.4,0.3500000000000001,0.2894736842105263,36,17,7,0,189,0.028407978437623355,0.7768786127257443,0.18433820769477388,1445.0
